trading_day,rank,symbol,security_name,security_id,last_traded_price,closing_price,percentage_change,point_change,market_avg_pct_change,relative_strength
2026-08-31,10,EBLD85,10.50% Everest Bank Limited Debenture 2085,8119,1140.9,1140.9,2.78,30.9,1.92,0.86
2026-08-31,9,MMF1,Mega Mutual Fund -1,8023,8.96,8.96,2.99,0.26,1.92,1.07
2026-08-31,8,JBBD87,Jyoti Bikash Bank Bond 2087,8020,1133.0,1133.0,2.99,32.9,1.92,1.07
2026-08-31,7,SPHL,Sayapatri Hydropower Limited,8121,540.0,540.0,3.25,17.0,1.92,1.33
2026-08-31,6,SYPNL,SY Panel Nepal Limited,9303,1293.0,1293.0,3.91,48.7,1.92,1.99
2026-08-31,5,NABILD2089,7% Nabil Debenture 2089,9299,1100.0,1100.0,3.97,42.0,1.92,2.05
2026-08-31,4,PCIL,Palpa Cement Industries Limited,9330,646.0,646.0,4.03,25.0,1.92,2.11
2026-08-31,3,NICAD2091,7% NIC ASIA Debenture 2091,9266,1094.0,1094.0,6.01,62.0,1.92,4.09
2026-08-31,2,GCIL,Ghorahi Cement Industry Limited,9193,398.0,398.0,7.57,28.0,1.92,5.65
2026-08-31,1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,8063,2725.0,2725.0,13.16,317.0,1.92,11.24
2026-08-27,20,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,704,590.0,590.0,2.08,12.0,1.24,0.84
2026-08-27,19,MEHL,Manakamana Engineering Hydropower Limited,9203,234.6,234.6,2.13,4.9,1.24,0.89
2026-08-27,18,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,2790,900.0,900.0,2.27,20.0,1.24,1.03
2026-08-27,17,KAHL,Kalanga Hydro Limited,9346,502.5,502.5,2.38,11.7,1.24,1.14
2026-08-27,16,APHL,Appolo Hydropower Limited,9337,689.0,689.0,2.51,16.9,1.24,1.27
2026-08-27,15,SANVI,Sanvi Energy Limited,9263,579.0,579.0,2.53,14.3,1.24,1.29
2026-08-27,14,VLUCL,Vision Lumbini Urja Company Limited ,9225,383.5,383.5,2.54,9.5,1.24,1.3
2026-08-27,13,RSY2,Reliable Samriddhi Yojana -2,9351,9.16,9.16,2.58,0.23,1.24,1.34
2026-08-27,12,SNLI,Sun Nepal Life Insurance Company Limited,9201,390.0,390.0,2.69,10.2,1.24,1.45
2026-08-27,11,KEF,Kumari Equity Fund,2933,9.68,9.68,2.87,0.27,1.24,1.63
2026-08-27,10,HBLD86,"Himalayan Bank Limited Bond, 2086",9137,1112.4,1112.4,3.0,32.4,1.24,1.76
2026-08-27,9,JOSHI,Joshi Hydropower Development Company Ltd,2789,259.8,259.8,3.51,8.8,1.24,2.27
2026-08-27,8,SAPDBL,Saptakoshi Development Bank Ltd,2860,720.0,720.0,3.75,26.0,1.24,2.51
2026-08-27,7,SOPL,Sopan Pharmaceuticals Limited,9336,758.0,758.0,3.98,29.0,1.24,2.74
2026-08-27,6,SHIVM,SHIVAM CEMENTS LTD,2809,650.0,650.0,4.17,26.0,1.24,2.93
2026-08-27,5,PCIL,Palpa Cement Industries Limited,9330,621.0,621.0,4.53,26.9,1.24,3.29
2026-08-27,4,BGWT,Bhagawati Hydropower Development Company Limited,9214,513.0,513.0,4.72,23.1,1.24,3.48
2026-08-27,3,SONA,Sonapur Minerals And Oil Limited,9216,408.0,408.0,5.05,19.6,1.24,3.81
2026-08-27,2,GCIL,Ghorahi Cement Industry Limited,9193,370.0,370.0,8.19,28.0,1.24,6.95
2026-08-27,1,SAPIL,Sarvottam Paints Industries Limited,9353,1394.8,1394.8,15.0,181.9,1.24,13.76
2026-08-26,20,NSY,Nepal Life Samriddhi Lagani Yojana,9312,9.29,9.29,0.98,0.09,1.97,-0.99
2026-08-26,19,SRBLD83,10.25% Sunrise Bank Debenture 2083,2878,1025.0,1025.0,0.99,10.0,1.97,-0.98
2026-08-26,18,TRH,Taragaon Regency Hotel Limited,148,803.0,803.0,1.13,9.0,1.97,-0.84
2026-08-26,17,RBBD2088,7% RBBL Debenture 2088,9264,1042.0,1042.0,1.17,12.0,1.97,-0.8
2026-08-26,16,GCIL,Ghorahi Cement Industry Limited,9193,342.0,342.0,1.18,4.0,1.97,-0.79
2026-08-26,15,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,2829,1430.0,1430.0,2.14,29.9,1.97,0.17
2026-08-26,14,SEF,Siddhartha Equity Fund,2770,9.49,9.49,2.26,0.21,1.97,0.29
